Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
18-03-2026,08:01,18-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-1,24",EUR,"125,28",
18-03-2026,08:01,18-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,24 EUR",,,,EUR,"126,52",
18-03-2026,06:48,17-03-2026,,,Ingreso Cambio de Divisa,,EUR,"1,24",EUR,"125,28",
18-03-2026,06:48,17-03-2026,,,Retirada Cambio de Divisa,"1,1570",USD,"-1,43",USD,"0,00",
17-03-2026,07:42,16-03-2026,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,"-0,25",USD,"1,43",
17-03-2026,07:42,16-03-2026,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,"1,68",USD,"1,68",
16-03-2026,04:10,16-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-2,70",EUR,"124,04",
16-03-2026,04:10,16-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,7 EUR",,,,EUR,"126,74",
14-03-2026,06:52,13-03-2026,,,Ingreso Cambio de Divisa,,EUR,"2,70",EUR,"124,04",
14-03-2026,06:52,13-03-2026,,,Retirada Cambio de Divisa,"1,1445",USD,"-3,09",USD,"0,00",
13-03-2026,07:22,12-03-2026,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,64",USD,"3,09",
13-03-2026,07:21,12-03-2026,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,55",USD,"-0,55",
12-03-2026,08:14,12-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-3,78",EUR,"121,34",
12-03-2026,08:14,12-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,78 EUR",,,,EUR,"125,12",
12-03-2026,06:34,11-03-2026,,,Ingreso Cambio de Divisa,,EUR,"3,78",EUR,"121,34",
12-03-2026,06:34,11-03-2026,,,Retirada Cambio de Divisa,"1,1596",USD,"-4,38",USD,"0,00",
11-03-2026,07:17,10-03-2026,EXXON MOBIL CORP,US30231G1022,Dividendo,,USD,"5,15",USD,"4,38",
11-03-2026,07:17,10-03-2026,EXXON MOBIL CORP,US30231G1022,Retención del dividendo,,USD,"-0,77",USD,"-0,77",
02-03-2026,14:24,02-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-4,34",EUR,"117,56",
02-03-2026,14:24,02-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,34 EUR",,,,EUR,"121,90",
02-03-2026,07:18,27-02-2026,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,Dividendo,,EUR,"4,34",EUR,"117,56",
23-02-2026,19:26,23-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"12,50",EUR,"113,22",
23-02-2026,19:26,23-02-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 12,5 EUR",,,,EUR,"100,72",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"113,22",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"115,72",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Euronext Amsterdam - EAM),,EUR,"-2,50",EUR,"118,22",
