Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
31-12-2024,10:10,31-12-2024,,,flatex Deposit,,EUR,"600,00",EUR,"661,54",
31-12-2024,07:27,30-12-2024,,,Ingreso Cambio de Divisa,,EUR,"5,65",EUR,"61,54",
31-12-2024,07:27,30-12-2024,,,Retirada Cambio de Divisa,"1,0433",USD,"-5,89",USD,"0,00",
30-12-2024,07:34,27-12-2024,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,"2,76",USD,"5,89",
30-12-2024,07:29,27-12-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Dividendo,,USD,"3,13",USD,"3,13",
20-12-2024,19:17,20-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 16,4 EUR",,,,EUR,"55,89",
20-12-2024,19:17,20-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-16,40",EUR,"39,49",
20-12-2024,07:29,19-12-2024,TELEFONICA SA,ES0178430E18,Dividendo,,EUR,"20,25",EUR,"55,89",
20-12-2024,07:29,19-12-2024,TELEFONICA SA,ES0178430E18,Retención del dividendo,,EUR,"-3,85",EUR,"35,64",
18-12-2024,18:17,18-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-15,08",EUR,"39,49",
18-12-2024,18:17,18-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 15,08 EUR",,,,EUR,"54,57",
18-12-2024,07:12,17-12-2024,,,Ingreso Cambio de Divisa,,EUR,"15,08",EUR,"39,49",
18-12-2024,07:12,17-12-2024,,,Retirada Cambio de Divisa,"1,0517",USD,"-15,86",USD,"0,00",
17-12-2024,17:16,16-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,68 EUR",,,,EUR,"24,41",
17-12-2024,17:16,16-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-2,68",EUR,"21,73",
17-12-2024,07:31,16-12-2024,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,"-0,18",USD,"15,86",
17-12-2024,07:31,16-12-2024,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,"1,20",USD,"16,04",
17-12-2024,07:10,16-12-2024,COCA-COLA,US1912161007,Retención del dividendo,,USD,"-2,62",USD,"14,84",
17-12-2024,07:10,16-12-2024,COCA-COLA,US1912161007,Dividendo,,USD,"17,46",USD,"17,46",
14-12-2024,07:08,13-12-2024,,,Ingreso Cambio de Divisa,,EUR,"2,68",EUR,"24,41",
14-12-2024,07:08,13-12-2024,,,Retirada Cambio de Divisa,"1,0527",USD,"-2,82",USD,"0,00",
13-12-2024,07:22,12-12-2024,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,50",USD,"2,82",
13-12-2024,07:22,12-12-2024,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,32",USD,"3,32",
13-12-2024,05:46,12-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-9,27",EUR,"21,73",
13-12-2024,05:46,12-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,27 EUR",,,,EUR,"31,00",
12-12-2024,06:47,11-12-2024,,,Ingreso Cambio de Divisa,,EUR,"9,27",EUR,"21,73",
12-12-2024,06:47,11-12-2024,,,Retirada Cambio de Divisa,"1,0522",USD,"-9,75",USD,"0,00",
11-12-2024,07:22,10-12-2024,CHEVRON CORP,US1667641005,Retención del dividendo,,USD,"-0,98",USD,"9,75",
11-12-2024,07:22,10-12-2024,CHEVRON CORP,US1667641005,Dividendo,,USD,"6,52",USD,"10,73",
11-12-2024,07:16,10-12-2024,EXXONMOBIL CORP,US30231G1022,Dividendo,,USD,"4,95",USD,"4,21",
11-12-2024,07:16,10-12-2024,EXXONMOBIL CORP,US30231G1022,Retención del dividendo,,USD,"-0,74",USD,"-0,74",
05-12-2024,07:01,04-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-4,76",EUR,"12,46",
05-12-2024,07:01,04-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,76 EUR",,,,EUR,"17,22",
04-12-2024,06:54,03-12-2024,,,Ingreso Cambio de Divisa,,EUR,"4,76",EUR,"12,46",
04-12-2024,06:54,03-12-2024,,,Retirada Cambio de Divisa,"1,0535",USD,"-5,01",USD,"0,00",
04-12-2024,02:16,03-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-4,92",EUR,"7,70",
04-12-2024,02:16,03-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,92 EUR",,,,EUR,"12,62",
03-12-2024,07:42,02-12-2024,VISA INC,US92826C8394,Dividendo,,USD,"5,90",USD,"5,01",
03-12-2024,07:42,02-12-2024,VISA INC,US92826C8394,Retención del dividendo,,USD,"-0,89",USD,"-0,89",
03-12-2024,06:50,02-12-2024,,,Ingreso Cambio de Divisa,,EUR,"4,92",EUR,"7,70",
03-12-2024,06:50,02-12-2024,,,Retirada Cambio de Divisa,"1,0525",USD,"-5,18",USD,"0,00",
02-12-2024,07:24,29-11-2024,STARBUCKS,US8552441094,Retención del dividendo,,USD,"-0,92",USD,"5,18",
02-12-2024,07:24,29-11-2024,STARBUCKS,US8552441094,Dividendo,,USD,"6,10",USD,"6,10",
19-11-2024,18:15,19-11-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 362,07 EUR",,,,EUR,"2,78",
19-11-2024,18:15,19-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"362,07",EUR,"364,85",
19-11-2024,13:17,19-11-2024,BANCO DE SABADELL,ES0113860A34,Spanish Transaction Tax,,EUR,"-0,72",EUR,"2,78",6ec470fc-1380-4b0e-9d6d-6e0cab4554d9
19-11-2024,13:17,19-11-2024,BANCO DE SABADELL,ES0113860A34,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"3,50",6ec470fc-1380-4b0e-9d6d-6e0cab4554d9
19-11-2024,13:17,19-11-2024,BANCO DE SABADELL,ES0113860A34,"Compra 200 Banco de Sabadell@1,806 EUR (ES0113860A34)",,EUR,"-361,20",EUR,"5,50",6ec470fc-1380-4b0e-9d6d-6e0cab4554d9
19-11-2024,11:45,18-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1100,95",EUR,"366,70",
19-11-2024,11:45,18-11-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.100,95 EUR",,,,EUR,"-734,25",
19-11-2024,09:20,19-11-2024,,,flatex Deposit,,EUR,"330,00",EUR,"366,70",
19-11-2024,06:44,18-11-2024,,,Ingreso Cambio de Divisa,,EUR,"1,85",EUR,"36,70",
19-11-2024,06:44,18-11-2024,,,Retirada Cambio de Divisa,"1,0625",USD,"-1,97",USD,"0,00",
18-11-2024,20:01,18-11-2024,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1 EUR,,,,EUR,"34,85",
18-11-2024,20:01,18-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,00",EUR,"33,85",
18-11-2024,15:32,18-11-2024,PEPSICO INC,US7134481081,Ingreso Cambio de Divisa,"1,0539",USD,"476,10",USD,"1,97",1281be6f-475e-4700-8a8d-69daea67b0f7
18-11-2024,15:32,18-11-2024,PEPSICO INC,US7134481081,Retirada Cambio de Divisa,,EUR,"-451,77",EUR,"34,85",1281be6f-475e-4700-8a8d-69daea67b0f7
18-11-2024,15:32,18-11-2024,PEPSICO INC,US7134481081,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"486,62",1281be6f-475e-4700-8a8d-69daea67b0f7
18-11-2024,15:32,18-11-2024,PEPSICO INC,US7134481081,"Compra 3 PepsiCo Inc@158,7 USD (US7134481081)",,USD,"-476,10",USD,"-474,13",1281be6f-475e-4700-8a8d-69daea67b0f7
18-11-2024,15:31,15-11-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.062,09 EUR",,,,EUR,"488,62",
18-11-2024,15:31,15-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1062,09",EUR,"-573,47",
18-11-2024,15:30,18-11-2024,COCA-COLA,US1912161007,Ingreso Cambio de Divisa,"1,0537",USD,"679,80",USD,"1,97",4e8657a3-c9ba-4d03-bbd9-9249a62918b9
18-11-2024,15:30,18-11-2024,COCA-COLA,US1912161007,Retirada Cambio de Divisa,,EUR,"-645,18",EUR,"488,62",4e8657a3-c9ba-4d03-bbd9-9249a62918b9
18-11-2024,15:30,18-11-2024,COCA-COLA,US1912161007,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1133,80",4e8657a3-c9ba-4d03-bbd9-9249a62918b9
18-11-2024,15:30,18-11-2024,COCA-COLA,US1912161007,"Compra 11 Coca-Cola@61,8 USD (US1912161007)",,USD,"-679,80",USD,"-677,83",4e8657a3-c9ba-4d03-bbd9-9249a62918b9
18-11-2024,07:33,15-11-2024,COSTCO WHOLESALE,US22160K1051,Dividendo,,USD,"2,32",USD,"1,97",
