Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
17-12-2024,17:16,16-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,68 EUR",,,,EUR,24.41,
17-12-2024,17:16,16-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.68,EUR,21.73,
17-12-2024,07:31,16-12-2024,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,-0.18,USD,15.86,
17-12-2024,07:31,16-12-2024,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,1.20,USD,16.04,
17-12-2024,07:10,16-12-2024,COCA-COLA,US1912161007,Retención del dividendo,,USD,-2.62,USD,14.84,
17-12-2024,07:10,16-12-2024,COCA-COLA,US1912161007,Dividendo,,USD,17.46,USD,17.46,
14-12-2024,07:08,13-12-2024,,,Ingreso Cambio de Divisa,,EUR,2.68,EUR,24.41,
14-12-2024,07:08,13-12-2024,,,Retirada Cambio de Divisa,1.0527,USD,-2.82,USD,0.00,
13-12-2024,07:22,12-12-2024,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,-0.50,USD,2.82,
13-12-2024,07:22,12-12-2024,MICROSOFT CORP,US5949181045,Dividendo,,USD,3.32,USD,3.32,
13-12-2024,05:46,12-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-9.27,EUR,21.73,
13-12-2024,05:46,12-12-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,27 EUR",,,,EUR,31.00,
12-12-2024,06:47,11-12-2024,,,Ingreso Cambio de Divisa,,EUR,9.27,EUR,21.73,
12-12-2024,06:47,11-12-2024,,,Retirada Cambio de Divisa,1.0522,USD,-9.75,USD,0.00,
11-12-2024,07:22,10-12-2024,CHEVRON CORP,US1667641005,Retención del dividendo,,USD,-0.98,USD,9.75,
11-12-2024,07:22,10-12-2024,CHEVRON CORP,US1667641005,Dividendo,,USD,6.52,USD,10.73,
11-12-2024,07:16,10-12-2024,EXXONMOBIL CORP,US30231G1022,Dividendo,,USD,4.95,USD,4.21,
