Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
11-02-2025,02:03,10-02-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,54 EUR",,,,EUR,9.54,
11-02-2025,02:03,10-02-2025,,,Degiro Cash Sweep Transfer,,EUR,-9.54,EUR,0.00,
10-02-2025,18:22,10-02-2025,UBER TECHNOLOGIES INC,US90353T1007,Ingreso Cambio de Divisa,1.0286,USD,463.26,USD,0.00,03c67c7c-1f68-4ea8-ad7e-b619c744d425
10-02-2025,18:22,10-02-2025,UBER TECHNOLOGIES INC,US90353T1007,Retirada Cambio de Divisa,,EUR,-450.37,EUR,9.54,03c67c7c-1f68-4ea8-ad7e-b619c744d425
10-02-2025,18:22,10-02-2025,UBER TECHNOLOGIES INC,US90353T1007,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,459.91,03c67c7c-1f68-4ea8-ad7e-b619c744d425
10-02-2025,18:22,10-02-2025,UBER TECHNOLOGIES INC,US90353T1007,"Compra 6 Uber Technologies Inc@77,21 USD (US90353T1007)",,USD,-463.26,USD,-463.26,03c67c7c-1f68-4ea8-ad7e-b619c744d425
10-02-2025,18:21,10-02-2025,ALPHABET INC CLASS C,US02079K1079,Ingreso Cambio de Divisa,1.0287,USD,375.72,USD,0.00,1ec8f237-39e9-4105-9dc0-f5e7150b1c2a
10-02-2025,18:21,10-02-2025,ALPHABET INC CLASS C,US02079K1079,Retirada Cambio de Divisa,,EUR,-365.23,EUR,461.91,1ec8f237-39e9-4105-9dc0-f5e7150b1c2a
10-02-2025,18:21,10-02-2025,ALPHABET INC CLASS C,US02079K1079,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,827.14,1ec8f237-39e9-4105-9dc0-f5e7150b1c2a
10-02-2025,18:21,10-02-2025,ALPHABET INC CLASS C,US02079K1079,"Compra 2 Alphabet Inc Class C@187,86 USD (US02079K1079)",,USD,-375.72,USD,-375.72,1ec8f237-39e9-4105-9dc0-f5e7150b1c2a
10-02-2025,15:56,10-02-2025,PEPSICO INC,US7134481081,Retirada Cambio de Divisa,1.0336,USD,-862.38,USD,0.00,a2f4e365-cd78-4c87-ab5b-48354309ed8f
10-02-2025,15:56,10-02-2025,PEPSICO INC,US7134481081,Ingreso Cambio de Divisa,,EUR,834.36,EUR,829.14,a2f4e365-cd78-4c87-ab5b-48354309ed8f
10-02-2025,15:56,10-02-2025,PEPSICO INC,US7134481081,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,-5.22,a2f4e365-cd78-4c87-ab5b-48354309ed8f
