Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
05-08-2025,11:30,05-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1,46 EUR",,,,EUR,"5,65",
05-08-2025,11:30,05-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"1,46",EUR,"7,11",
05-08-2025,10:35,05-08-2025,BANCO SANTANDER,ES0113900J37,Spanish Transaction Tax,,EUR,"-0,37",EUR,"5,65",75fd9a88-bc97-4ad0-a1fe-3b35e1deaeca
05-08-2025,10:35,05-08-2025,BANCO SANTANDER,ES0113900J37,Spanish Transaction Tax,,EUR,"-0,38",EUR,"6,02",75fd9a88-bc97-4ad0-a1fe-3b35e1deaeca
05-08-2025,10:35,05-08-2025,BANCO SANTANDER,ES0113900J37,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"6,40",75fd9a88-bc97-4ad0-a1fe-3b35e1deaeca
05-08-2025,10:35,05-08-2025,BANCO SANTANDER,ES0113900J37,"Compra 25 Banco Santander@7,39 EUR (ES0113900J37)",,EUR,"-184,75",EUR,"8,40",75fd9a88-bc97-4ad0-a1fe-3b35e1deaeca
05-08-2025,10:35,05-08-2025,BANCO SANTANDER,ES0113900J37,"Compra 26 Banco Santander@7,39 EUR (ES0113900J37)",,EUR,"-192,14",EUR,"193,15",75fd9a88-bc97-4ad0-a1fe-3b35e1deaeca
05-08-2025,10:34,05-08-2025,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Spanish Transaction Tax,,EUR,"-0,41",EUR,"385,29",aa58ac26-b031-4422-9e47-b96dc787ba15
05-08-2025,10:34,05-08-2025,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Spanish Transaction Tax,,EUR,"-0,41",EUR,"385,70",aa58ac26-b031-4422-9e47-b96dc787ba15
05-08-2025,10:34,05-08-2025,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"386,11",aa58ac26-b031-4422-9e47-b96dc787ba15
