Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
19-12-2023,19:17,19-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 13,17 EUR",,,,EUR,31.44,
19-12-2023,19:17,19-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-13.17,EUR,18.27,
19-12-2023,14:47,18-12-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 938,15 EUR",,,,EUR,31.44,
19-12-2023,14:47,18-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,938.15,EUR,969.59,
19-12-2023,08:31,14-12-2023,TELEFONICA SA,ES0178430E18,Retención del dividendo,,EUR,-1.00,EUR,31.44,
19-12-2023,08:31,14-12-2023,TELEFONICA SA,ES0178430E18,Dividendo,,EUR,5.25,EUR,32.44,
19-12-2023,07:12,18-12-2023,,,Ingreso Cambio de Divisa,,EUR,8.92,EUR,27.19,
19-12-2023,07:12,18-12-2023,,,Retirada Cambio de Divisa,1.0950,USD,-9.77,USD,0.00,
18-12-2023,20:17,18-12-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 866,38 EUR",,,,EUR,18.27,
18-12-2023,20:17,18-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,866.38,EUR,884.65,
18-12-2023,17:53,18-12-2023,KRAFT HEINZ CO,US5007541064,Ingreso Cambio de Divisa,1.0894,USD,625.77,USD,9.77,03aa502d-86b8-42c4-96b4-898cdbd84777
18-12-2023,17:53,18-12-2023,KRAFT HEINZ CO,US5007541064,Retirada Cambio de Divisa,,EUR,-574.43,EUR,18.27,03aa502d-86b8-42c4-96b4-898cdbd84777
18-12-2023,17:53,18-12-2023,KRAFT HEINZ CO,US5007541064,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,592.70,03aa502d-86b8-42c4-96b4-898cdbd84777
18-12-2023,17:53,18-12-2023,KRAFT HEINZ CO,US5007541064,"Compra 17 Kraft Heinz Co@36,81 USD (US5007541064)",,USD,-625.77,USD,-616.00,03aa502d-86b8-42c4-96b4-898cdbd84777
18-12-2023,17:01,18-12-2023,TELEFONICA SA,ES0178430E18,Spanish Transaction Tax,,EUR,-0.72,EUR,594.70,1f0da6cf-7fa8-48b5-87fc-e7ad6a4293ea
18-12-2023,17:01,18-12-2023,TELEFONICA SA,ES0178430E18,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,595.42,1f0da6cf-7fa8-48b5-87fc-e7ad6a4293ea
18-12-2023,17:01,18-12-2023,TELEFONICA SA,ES0178430E18,"Compra 100 Telefonica SA@3,59 EUR (ES0178430E18)",,EUR,-359.00,EUR,597.42,1f0da6cf-7fa8-48b5-87fc-e7ad6a4293ea
18-12-2023,09:04,18-12-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Costes de transacción y/o externos de DEGIRO,,EUR,-3.00,EUR,956.42,204e1424-6bf7-40b2-8ae3-a82fcec92107
18-12-2023,09:04,18-12-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,"Compra 7 Vanguard FTSE All-World UCITS ETF USD Dis@107,32 EUR (IE00B3RBWM25)",,EUR,-751.24,EUR,959.42,204e1424-6bf7-40b2-8ae3-a82fcec92107
18-12-2023,09:04,18-12-2023,SPDR S&P US DIVIDEND ARISTOCRATS ETF,IE00B6YX5D40,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,1710.66,b5588976-aaaa-4bc3-91bc-2f0f0bace3af
18-12-2023,09:04,18-12-2023,SPDR S&P US DIVIDEND ARISTOCRATS ETF,IE00B6YX5D40,"Compra 12 SPDR S&P US Dividend Aristocrats ETF@62,64 EUR (IE00B6YX5D40)",,EUR,-751.68,EUR,1711.66,b5588976-aaaa-4bc3-91bc-2f0f0bace3af
18-12-2023,08:00,18-12-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,2463.34,21349686-5ba5-425d-b3d3-c764650c491b
18-12-2023,08:00,18-12-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,"Compra 9 Vanguard S&P 500 UCITS ETF USD@81,974 EUR (IE00B3XXRP09)",,EUR,-737.77,EUR,2464.34,21349686-5ba5-425d-b3d3-c764650c491b
18-12-2023,06:31,15-12-2023,COCA-COLA,US1912161007,Dividendo,,USD,11.50,USD,9.77,
18-12-2023,06:31,15-12-2023,COCA-COLA,US1912161007,Retención del dividendo,,USD,-1.73,USD,-1.73,
17-12-2023,08:03,15-12-2023,,,Ingreso Cambio de Divisa,,EUR,2.31,EUR,3202.11,
17-12-2023,08:03,15-12-2023,,,Retirada Cambio de Divisa,1.1021,USD,-2.55,USD,0.00,
15-12-2023,16:54,15-12-2023,VANGUARD FTSE ALL-WORLD HIGH,IE00BK5BR626,Costes de transacción y/o externos de DEGIRO,,EUR,-3.00,EUR,3199.80,5b368adf-7148-44ba-abaf-9615b198f161
15-12-2023,16:54,15-12-2023,VANGUARD FTSE ALL-WORLD HIGH,IE00BK5BR626,Venta 23 Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc@60 EUR (IE00BK5BR626),,EUR,1380.00,EUR,3202.80,5b368adf-7148-44ba-abaf-9615b198f161
15-12-2023,11:47,14-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.811,48 EUR",,,,EUR,1822.80,
15-12-2023,11:47,14-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1811.48,EUR,11.32,
15-12-2023,06:42,14-12-2023,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,-0.45,USD,2.55,
15-12-2023,06:42,14-12-2023,MICROSOFT CORP,US5949181045,Dividendo,,USD,3.00,USD,3.00,
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Retirada Cambio de Divisa,1.1029,USD,-2000.00,USD,0.00,6e707c56-da43-4005-9061-d699bd403c87
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Ingreso Cambio de Divisa,,EUR,1813.48,EUR,1822.80,6e707c56-da43-4005-9061-d699bd403c87
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,9.32,6e707c56-da43-4005-9061-d699bd403c87
