StockName;Ticker_EV
ALLY;ALLY
ALTRIA;MO
AMAZON;AMZN
APPLE;AAPL
BBVA;BBVA.MC
CAIXABANK;CABK.MC
CHEVRON;CVX
COCA-COLA;KO
COSTCO;COST
DISNEY;DIS
EURO STOCKS 50;EXW1.DE
EXXON MOBIL;XOM
GOOGLE;GOOG
ISHARES S&P 500;QDVE.DE
KRAFT;KHC
KROGER;KR
MERCADO LIBRE;MELI
MICROSOFT;MSFT
NOVO NORDISK;NOV.DE
NVIDIA;NVDA
PEPSICO;PEP
SABADELL;SAB.MC
SALESFORCE;CRM
SANTANDER;SAN.MC
SHELL PLC;SHELL.AS
SPDR S&P500 ARISTOCRATS;USDV.MI
STARBUCKS;SBUX
TELEFONICA;TEF.MC
TESLA;TSLA
UBER;UBER
VANGUARD FTSE ALL-WORLD;VGWL.DE
VANGUARD FTSE A-W DIVS;VGWL.DE
VANGUARD FTSE A-W HIGH;VHYL.AS
VANGUARD S&P500;VUSA.MI
VICI;VICI
VISA;V
