Producto;StockName
ALLY FINANCIAL INC;ALLY
ALLY FINANCIAL INC;ALLY
ALLY FINANCIAL INC. CO;ALLY
ALPHABET INC CLASS C;GOOGLE
ALPHABET INC CLASS C;GOOGLE
ALPHABET INC. - CLASS C;GOOGLE
ALTRIA GROUP INC;ALTRIA
ALTRIA GROUP INC.;ALTRIA
AMAZON.COM INC;AMAZON
AMAZON.COM INC.;AMAZON
AMAZON.COM INC. - COM;AMAZON
APPLE INC;APPLE
APPLE INC;APPLE
APPLE INC. - COMMON ST;APPLE
BANCO BILBAO VIZCAYA ARGENTARIA;BBVA
BANCO BILBAO VIZCAYA ARGENTARIA SA;BBVA
BANCO DE SABADELL;SABADELL
BANCO DE SABADELL SA;SABADELL
BANCO SANTANDER;SANTANDER
BANCO SANTANDER SA;SANTANDER
BBVA;BBVA
CAIXABANK;CAIXABANK
CAIXABANK SA;CAIXABANK
CAIXABANK SA;CAIXABANK
CHEVRON CORP;CHEVRON
CHEVRON CORP;CHEVRON
COCA-COLA;COCA-COLA
COCA-COLA CO;COCA-COLA
COCA-COLA COMPANY (THE;COCA-COLA
COSTCO WHOLESALE;COSTCO
COSTCO WHOLESALE CORP;COSTCO
EXXON MOBIL CORP;EXXON MOBIL
EXXONMOBIL CORP;EXXON MOBIL
ISHARES CORE EURO STOXX 50 UCITS ETF;EURO STOCKS 50
ISHARES CORE EURO STOXX 50 UCITS ETF;EURO STOCKS 50
ISHARES S&P 500 INF TECH SECTOR UCITS;ISHARES S&P 500
ISHARES S&P 500 INFO TECHNOLG SCTR;ISHARES S&P 500
KRAFT HEINZ CO;KRAFT
KRAFT HEINZ CO;KRAFT
KROGER CO;KROGER
KROGER CO;KROGER
MERCADOLIBRE INC;MERCADO LIBRE
MICROSOFT CORP;MICROSOFT
MICROSOFT CORP;MICROSOFT
MICROSOFT CORPORATION;MICROSOFT
NOVO NORDISK A/S;NOVO NORDISK
NOVO NORDISK A/S CLASS B;NOVO NORDISK
NVIDIA CORP;NVIDIA
NVIDIA CORP;NVIDIA
PEPSICO INC;PEPSICO
PEPSICO INC;PEPSICO
SALESFORCE INC;SALESFORCE
SALESFORCE.COM;SALESFORCE
SANTANDER;SANTANDER
SHELL PLC;SHELL PLC
SHELL PLC;SHELL PLC
SPDR S&P US DIVIDEND ARISTOCRATS ETF;SPDR S&P500 ARISTOCRATS
STARBUCKS;STARBUCKS
STARBUCKS CORP;STARBUCKS
STARBUCKS CORPORATION;STARBUCKS
STST SPDR S&P U.S. DIV ARISTOCRATS;SPDR S&P500 ARISTOCRATS
TELEFONICA;TELEFONICA
TELEFÓNICA;TELEFONICA
TELEFONICA SA;TELEFONICA
TELEFONICA SA;TELEFONICA
TESLA INC;TESLA
TESLA MOTORS INC. - C;TESLA
THE KRAFT HEINZ COMPAN;KRAFT
UBER TECHNOLOGIES INC;UBER
UBER TECHNOLOGIES INC;UBER
VANGUARD FTSE ALL-WORLD HIGH;VANGUARD FTSE A-W HIGH
VANGUARD FTSE ALL-WORLD UCITS ETF;VANGUARD FTSE A-W DIVS
VANGUARD FTSE ALL-WORLD UCITS ETF;VANGUARD FTSE A-W DIVS
VANGUARD FTSE AW;VANGUARD FTSE ALL-WORLD
VANGUARD S&P 500 UCITS ETF USD;VANGUARD S&P500
VANGUARD S&P 500 UCITS ETF USD DIS;VANGUARD S&P500
VANGUARD S&P500;VANGUARD S&P500
VICI PROPERTIES INC;VICI
VICI PROPERTIES INC;VICI
VISA INC;VISA
VISA INC CLASS A;VISA
VNGRD FTSE ALL-WLD HGH DIV YLD UCITS;VANGUARD FTSE A-W HIGH
WALT DISNEY;DISNEY
WALT DISNEY CO;DISNEY
WALT DISNEY COMPANY (T;DISNEY
INDUSTRIA DE DISENO TEXTIL SA;INDITEX
