,date,ticker,tipo_movimiento,movimiento,importe,num_acciones,price,moneda,description,fx_rate,importe_EUR,price_EUR
0,2021-07-27,Deposito,DEPOSITOS,Deposito,1000.0,0.0,,EUR,flatex Deposit,0.85,1000.0,
1,2021-07-27,VUSA.MI,COMPRA ACCIONES,VANGUARD S&P500,-993.85,14.0,70.989,EUR,"Compra 14 Vanguard S&P 500 UCITS ETF USD@70,989 EUR (IE00B3XXRP09)",0.85,-993.85,70.99
2,2021-08-03,Gastos,COMISION,,-2.49,0.0,,EUR,Comisión de conectividad con el mercado 2021 (Euronext Amsterdam - EAM),0.84,-2.49,
3,2021-08-17,Deposito,DEPOSITOS,Deposito,1003.0,0.0,,EUR,flatex Deposit,0.85,1003.0,
4,2021-08-17,VUSA.MI,COMPRA ACCIONES,VANGUARD S&P500,-1006.32,14.0,71.88,EUR,"Compra 14 Vanguard S&P 500 UCITS ETF USD@71,88 EUR (IE00B3XXRP09)",0.85,-1006.32,71.88
5,2021-09-02,Gastos,COMISION,,-0.01,0.0,,EUR,Comisión de conectividad con el mercado 2021 (Euronext Amsterdam - EAM),0.84,-0.01,
6,2021-09-07,Deposito,DEPOSITOS,Deposito,726.0,0.0,,EUR,flatex Deposit,0.84,726.0,
7,2021-09-07,VUSA.MI,COMPRA ACCIONES,VANGUARD S&P500,-725.5,10.0,72.55,EUR,"Compra 10 Vanguard S&P 500 UCITS ETF USD@72,55 EUR (IE00B3XXRP09)",0.84,-725.5,72.55
8,2021-09-30,VUSA.MI,DIVIDENDO,VANGUARD S&P500,9.71,0.0,,USD,Dividendo,0.86,8.37,
9,2021-10-02,Gastos,INTERESES,,0.0,0.0,,EUR,Flatex Interest Income,0.86,0.0,
10,2021-11-16,Deposito,DEPOSITOS,Deposito,700.0,0.0,,EUR,flatex Deposit,0.88,700.0,
11,2021-11-19,QDVE.DE,COMPRA ACCIONES,ISHARES S&P 500,-702.11,37.0,18.976,EUR,"Compra 37 iShares S&P 500 Inf Tech Sector UCITS ETF USD Acc@18,976 EUR (IE00B3WJKG14)",0.88,-702.11,18.98
12,2021-12-02,Gastos,COMISION,,-2.5,0.0,,EUR,Comisión de conectividad con el mercado 2021 (Xetra - XET),0.88,-2.5,
13,2021-12-30,VUSA.MI,DIVIDENDO,VANGUARD S&P500,9.05,0.0,,USD,Dividendo,0.88,7.97,
14,2021-12-31,Gastos,INTERESES,,-0.04,0.0,,EUR,Flatex Interest,0.88,-0.04,
15,2022-01-10,Deposito,DEPOSITOS,Deposito,600.0,0.0,,EUR,flatex Deposit,0.88,600.0,
16,2022-01-10,QDVE.DE,COMPRA ACCIONES,ISHARES S&P 500,-606.67,33.0,18.384,EUR,"Compra 33 iShares S&P 500 Inf Tech Sector UCITS ETF USD Acc@18,384 EUR (IE00B3WJKG14)",0.88,-606.67,18.38
17,2022-01-26,Deposito,DEPOSITOS,Deposito,510.0,0.0,,EUR,flatex Deposit,0.88,510.0,
18,2022-01-26,Gastos,COMISION,ISHARES S&P 500,-0.5,0.0,,EUR,Costes de transacción y/o externos de DEGIRO,0.88,-0.5,
19,2022-01-26,QDVE.DE,COMPRA ACCIONES,ISHARES S&P 500,-515.1,30.0,17.17,EUR,"Compra 30 iShares S&P 500 Inf Tech Sector UCITS ETF USD Acc@17,17 EUR (IE00B3WJKG14)",0.88,-515.1,17.17
20,2022-02-03,Gastos,COMISION,,-5.0,0.0,,EUR,Giro Exchange Connection Fee 2022,0.88,-5.0,
21,2022-02-15,Deposito,DEPOSITOS,Deposito,5.0,0.0,,EUR,flatex Deposit,0.88,5.0,
22,2022-02-28,Deposito,DEPOSITOS,Deposito,650.0,0.0,,EUR,flatex Deposit,0.89,650.0,
23,2022-03-03,Gastos,INTERESES,,-0.01,0.0,,EUR,Interés,0.9,-0.01,
24,2022-03-08,AAPL,COMPRA ACCIONES,APPLE,-635.32,4.0,158.83,USD,"Compra 4 Apple Inc@158,83 USD (US0378331005)",0.92,-584.72,146.18
25,2022-03-08,Gastos,COMISION,APPLE,-0.5,0.0,,EUR,Costes de transacción y/o externos de DEGIRO,0.92,-0.5,
26,2022-04-01,Gastos,COMISION,,-2.5,0.0,,EUR,Giro Exchange Connection Fee 2022,0.9,-2.5,
27,2022-04-01,VUSA.MI,DIVIDENDO,VANGUARD S&P500,9.79,0.0,,USD,Dividendo,0.9,8.84,
28,2022-04-02,Gastos,INTERESES,,-0.12,0.0,,EUR,Flatex Interest,0.9,-0.12,
29,2022-05-12,AAPL,DIVIDENDO,APPLE,0.92,0.0,,USD,Dividendo,0.95,0.88,
30,2022-05-12,Gastos,IMPUESTO,APPLE,-0.14,0.0,,USD,Retención del dividendo,0.95,-0.13,
31,2022-05-16,Deposito,DEPOSITOS,Deposito,800.0,0.0,,EUR,flatex Deposit,0.96,800.0,
32,2022-05-17,AAPL,COMPRA ACCIONES,APPLE,-886.8,6.0,147.8,USD,"Compra 6 Apple Inc@147,8 USD (US0378331005)",0.96,-849.51,141.59
33,2022-05-17,Gastos,COMISION,APPLE,-0.5,0.0,,EUR,Costes de transacción y/o externos de DEGIRO,0.96,-0.5,
34,2022-05-24,Deposito,DEPOSITOS,Deposito,750.0,0.0,,EUR,flatex Deposit,0.94,750.0,
35,2022-05-24,VGWL.DE,COMPRA ACCIONES,VANGUARD FTSE A-W DIVS,-772.16,8.0,96.52,EUR,"Compra 8 Vanguard FTSE All-World UCITS ETF USD Dis@96,52 EUR (IE00B3RBWM25)",0.94,-772.16,96.52
