,date,depositos,compras,ventas,dividendos,comisiones,impuestos,intereses,posiciones,col8,saldo_diario_raw,saldo_diario_acc,acciones,acc_price,saldo,saldo_change,saldo_change_perc,saldo_pos_change,saldo_pos_change_perc
26,2021-07-27,1000.0,-993.85,0.0,0.0,0.0,0.0,0.0,939.17,6.149999999999977,6.149999999999977,6.15,52.89,17.87,945.32,,,,
27,2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.91,0.0,0.0,6.15,52.89,17.98,951.06,5.74,0.61,5.74,0.61
28,2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.31,0.0,0.0,6.15,52.89,17.95,949.46,-1.6,-0.17,-1.6,-0.17
29,2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.97,0.0,0.0,6.15,52.89,17.89,946.12,-3.34,-0.35,-3.34,-0.35
30,2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.97,0.0,0.0,6.15,52.89,17.89,946.12,0.0,0.0,0.0,0.0
31,2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.97,0.0,0.0,6.15,52.89,17.89,946.12,0.0,0.0,0.0,0.0
32,2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.57,0.0,0.0,6.15,52.89,17.92,947.72,1.6,0.17,1.6,0.17
33,2021-08-03,0.0,0.0,0.0,0.0,-2.49,0.0,0.0,939.3,-2.49,-2.49,3.66,52.89,17.83,942.96,-4.76,-0.5,-2.27,-0.24
34,2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.18,0.0,0.0,3.66,52.89,17.9,946.84,3.88,0.41,3.88,0.41
35,2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.52,0.0,0.0,3.66,52.89,17.96,950.18,3.34,0.35,3.34,0.35
36,2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.74,0.0,0.0,3.66,52.89,18.14,959.4,9.22,0.97,9.22,0.97
37,2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.74,0.0,0.0,3.66,52.89,18.14,959.4,0.0,0.0,0.0,0.0
38,2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.74,0.0,0.0,3.66,52.89,18.14,959.4,0.0,0.0,0.0,0.0
39,2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.74,0.0,0.0,3.66,52.89,18.14,959.4,0.0,0.0,0.0,0.0
40,2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.61,0.0,0.0,3.66,52.89,18.21,963.27,3.87,0.4,3.87,0.4
41,2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.94,0.0,0.0,3.66,52.89,18.2,962.6,-0.67,-0.07,-0.67,-0.07
42,2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.08,0.0,0.0,3.66,52.89,18.24,964.74,2.14,0.22,2.14,0.22
