,date,ticker,movimiento,pos_portfolio,Close,moneda,fx_rate,importe_EUR,tipo_movimiento
0,2021-07-01,,,0.0,974.9,,0.84,0.0,POSICION
1,2021-07-02,,,0.0,974.9,,0.84,0.0,POSICION
2,2021-07-03,,,0.0,974.9,,0.84,0.0,POSICION
3,2021-07-04,,,0.0,974.9,,0.84,0.0,POSICION
4,2021-07-05,,,0.0,974.9,,0.84,0.0,POSICION
5,2021-07-06,,,0.0,974.9,,0.84,0.0,POSICION
6,2021-07-07,,,0.0,974.9,,0.85,0.0,POSICION
7,2021-07-08,,,0.0,974.9,,0.85,0.0,POSICION
8,2021-07-09,,,0.0,974.9,,0.84,0.0,POSICION
9,2021-07-10,,,0.0,974.9,,0.84,0.0,POSICION
10,2021-07-11,,,0.0,974.9,,0.84,0.0,POSICION
11,2021-07-12,,,0.0,974.9,,0.84,0.0,POSICION
12,2021-07-13,,,0.0,974.9,,0.84,0.0,POSICION
13,2021-07-14,,,0.0,974.9,,0.85,0.0,POSICION
14,2021-07-15,,,0.0,974.9,,0.85,0.0,POSICION
15,2021-07-16,,,0.0,974.9,,0.85,0.0,POSICION
16,2021-07-17,,,0.0,974.9,,0.85,0.0,POSICION
17,2021-07-18,,,0.0,974.9,,0.85,0.0,POSICION
18,2021-07-19,,,0.0,974.9,,0.85,0.0,POSICION
19,2021-07-20,,,0.0,974.9,,0.85,0.0,POSICION
20,2021-07-21,,,0.0,974.9,,0.85,0.0,POSICION
21,2021-07-22,,,0.0,974.9,,0.85,0.0,POSICION
22,2021-07-23,,,0.0,974.9,,0.85,0.0,POSICION
23,2021-07-24,,,0.0,974.9,,0.85,0.0,POSICION
24,2021-07-25,,,0.0,974.9,,0.85,0.0,POSICION
25,2021-07-26,,,0.0,974.9,,0.85,0.0,POSICION
26,2021-07-27,VUSA.MI,VANGUARD S&P500,14.0,67.08,EUR,0.85,939.17,POSICION
27,2021-07-27,,,0.0,974.9,,0.85,0.0,POSICION
28,2021-07-28,VUSA.MI,,14.0,67.49,EUR,0.85,944.91,POSICION
29,2021-07-28,,,0.0,974.9,,0.85,0.0,POSICION
30,2021-07-29,VUSA.MI,,14.0,67.38,EUR,0.84,943.31,POSICION
31,2021-07-29,,,0.0,974.9,,0.84,0.0,POSICION
32,2021-07-30,VUSA.MI,,14.0,67.14,EUR,0.84,939.97,POSICION
33,2021-07-30,,,0.0,974.9,,0.84,0.0,POSICION
34,2021-07-31,VUSA.MI,,14.0,67.14,EUR,0.84,939.97,POSICION
35,2021-07-31,,,0.0,974.9,,0.84,0.0,POSICION
36,2021-08-01,VUSA.MI,,14.0,67.14,EUR,0.84,939.97,POSICION
37,2021-08-01,,,0.0,974.9,,0.84,0.0,POSICION
